,LinkRef,LinkDescription,Date,TimePeriod,AverageJT,AverageSpeed,DataQuality,LinkLength,Flow
74,AL100,A414 between M1 J7 and A405 (AL100),20150301,74,172.21,94.28,1,4.510000229,154.5
75,AL100,A414 between M1 J7 and A405 (AL100),20150301,75,172.21,94.28,1,4.510000229,143.0
76,AL100,A414 between M1 J7 and A405 (AL100),20150301,76,160.52,101.15,1,4.510000229,134.0
77,AL100,A414 between M1 J7 and A405 (AL100),20150301,77,148.83,109.09,1,4.510000229,132.5
78,AL100,A414 between M1 J7 and A405 (AL100),20150301,78,148.83,109.09,1,4.510000229,137.0
79,AL100,A414 between M1 J7 and A405 (AL100),20150301,79,142.92,113.6,1,4.510000229,116.5
80,AL100,A414 between M1 J7 and A405 (AL100),20150301,80,137.01,118.5,1,4.510000229,104.0
81,AL100,A414 between M1 J7 and A405 (AL100),20150301,81,137.01,118.5,1,4.510000229,105.5
82,AL100,A414 between M1 J7 and A405 (AL100),20150301,82,137.01,118.5,1,4.510000229,98.0
83,AL100,A414 between M1 J7 and A405 (AL100),20150301,83,137.01,118.5,1,4.510000229,80.5
84,AL100,A414 between M1 J7 and A405 (AL100),20150301,84,162.44,99.95,3,4.510000229,71.5
85,AL100,A414 between M1 J7 and A405 (AL100),20150301,85,143.98,112.77,3,4.510000229,74.5
86,AL100,A414 between M1 J7 and A405 (AL100),20150301,86,142.14,114.23,3,4.510000229,77.0
87,AL100,A414 between M1 J7 and A405 (AL100),20150301,87,146.41,110.89,3,4.510000229,55.0
88,AL100,A414 between M1 J7 and A405 (AL100),20150301,88,152.08,106.76,3,4.510000229,57.0
89,AL100,A414 between M1 J7 and A405 (AL100),20150301,89,161.12,100.77,3,4.510000229,48.0
90,AL100,A414 between M1 J7 and A405 (AL100),20150301,90,143.72,112.97,3,4.510000229,54.0
91,AL100,A414 between M1 J7 and A405 (AL100),20150301,91,142.99,113.55,3,4.510000229,38.0
92,AL100,A414 between M1 J7 and A405 (AL100),20150301,92,149.54,108.57,3,4.510000229,37.0
93,AL100,A414 between M1 J7 and A405 (AL100),20150301,93,157.23,103.26,3,4.510000229,35.5
94,AL100,A414 between M1 J7 and A405 (AL100),20150301,94,147.47,110.1,3,4.510000229,32.0
95,AL100,A414 between M1 J7 and A405 (AL100),20150301,95,149.11,108.89,3,4.510000229,27.0
96,AL100,A414 between M1 J7 and A405 (AL100),20150302,00,161.89,100.29,3,4.510000229,18.75
97,AL100,A414 between M1 J7 and A405 (AL100),20150302,01,136.03,119.36,3,4.510000229,19.0
98,AL100,A414 between M1 J7 and A405 (AL100),20150302,02,143.79,112.91,3,4.510000229,16.25
99,AL100,A414 between M1 J7 and A405 (AL100),20150302,03,131.55,123.42,3,4.510000229,12.5
100,AL100,A414 between M1 J7 and A405 (AL100),20150302,04,145.48,111.6,3,4.510000229,11.5
101,AL100,A414 between M1 J7 and A405 (AL100),20150302,05,136.52,118.93,3,4.510000229,11.25
102,AL100,A414 between M1 J7 and A405 (AL100),20150302,06,137.6,117.99,3,4.510000229,9.75
103,AL100,A414 between M1 J7 and A405 (AL100),20150302,07,165.51,98.1,3,4.510000229,10.0
104,AL100,A414 between M1 J7 and A405 (AL100),20150302,08,176.45,92.01,3,4.510000229,9.75
105,AL100,A414 between M1 J7 and A405 (AL100),20150302,09,159.81,101.6,3,4.510000229,9.0
106,AL100,A414 between M1 J7 and A405 (AL100),20150302,10,156.4,103.81,3,4.510000229,10.5
107,AL100,A414 between M1 J7 and A405 (AL100),20150302,11,177.07,91.69,3,4.510000229,10.0
108,AL100,A414 between M1 J7 and A405 (AL100),20150302,12,172.16,94.31,3,4.510000229,18.5
109,AL100,A414 between M1 J7 and A405 (AL100),20150302,13,161.98,100.23,3,4.510000229,16.0
110,AL100,A414 between M1 J7 and A405 (AL100),20150302,14,158.49,102.44,3,4.510000229,18.0
111,AL100,A414 between M1 J7 and A405 (AL100),20150302,15,159.78,101.61,3,4.510000229,15.0
112,AL100,A414 between M1 J7 and A405 (AL100),20150302,16,148.86,109.07,1,4.510000229,15.0
113,AL100,A414 between M1 J7 and A405 (AL100),20150302,17,148.86,109.07,1,4.510000229,19.5
114,AL100,A414 between M1 J7 and A405 (AL100),20150302,18,148.86,109.07,1,4.510000229,37.5
115,AL100,A414 between M1 J7 and A405 (AL100),20150302,19,155.81,104.2,1,4.510000229,36.0
116,AL100,A414 between M1 J7 and A405 (AL100),20150302,20,162.75,99.76,1,4.510000229,46.0
117,AL100,A414 between M1 J7 and A405 (AL100),20150302,21,152.96,106.15,1,4.510000229,73.0
118,AL100,A414 between M1 J7 and A405 (AL100),20150302,22,143.17,113.4,1,4.510000229,103.25
119,AL100,A414 between M1 J7 and A405 (AL100),20150302,23,128.23,126.62,1,4.510000229,94.5
120,AL100,A414 between M1 J7 and A405 (AL100),20150302,24,132.92,122.15,1,4.510000229,107.0
121,AL100,A414 between M1 J7 and A405 (AL100),20150302,25,145.5,111.59,1,4.510000229,139.25
122,AL100,A414 between M1 J7 and A405 (AL100),20150302,26,158.08,102.71,1,4.510000229,198.0
123,AL100,A414 between M1 J7 and A405 (AL100),20150302,27,149.64,108.5,1,4.510000229,221.0
124,AL100,A414 between M1 J7 and A405 (AL100),20150302,28,119.23,136.17,1,4.510000229,265.0
125,AL100,A414 between M1 J7 and A405 (AL100),20150302,29,139.62,116.29,1,4.510000229,269.75
126,AL100,A414 between M1 J7 and A405 (AL100),20150302,30,149.85,108.35,1,4.510000229,286.5
127,AL100,A414 between M1 J7 and A405 (AL100),20150302,31,158.12,102.68,1,4.510000229,326.25
128,AL100,A414 between M1 J7 and A405 (AL100),20150302,32,149.88,108.33,1,4.510000229,334.0
129,AL100,A414 between M1 J7 and A405 (AL100),20150302,33,172.87,93.92,1,4.510000229,326.0
130,AL100,A414 between M1 J7 and A405 (AL100),20150302,34,172.1,94.34,1,4.510000229,304.25
131,AL100,A414 between M1 J7 and A405 (AL100),20150302,35,166.23,97.67,1,4.510000229,259.25
132,AL100,A414 between M1 J7 and A405 (AL100),20150302,36,169.41,95.84,1,4.510000229,251.0
133,AL100,A414 between M1 J7 and A405 (AL100),20150302,37,172.58,94.08,1,4.510000229,231.0
134,AL100,A414 between M1 J7 and A405 (AL100),20150302,38,162.12,100.15,1,4.510000229,221.0
135,AL100,A414 between M1 J7 and A405 (AL100),20150302,39,151.2,107.38,1,4.510000229,190.5
136,AL100,A414 between M1 J7 and A405 (AL100),20150302,40,136.03,119.36,1,4.510000229,172.0
137,AL100,A414 between M1 J7 and A405 (AL100),20150302,41,156.54,103.72,1,4.510000229,174.0
138,AL100,A414 between M1 J7 and A405 (AL100),20150302,42,150.43,107.93,1,4.510000229,170.75
139,AL100,A414 between M1 J7 and A405 (AL100),20150302,43,173.11,93.79,1,4.510000229,160.5
140,AL100,A414 between M1 J7 and A405 (AL100),20150302,44,157.92,102.81,1,4.510000229,162.5
141,AL100,A414 between M1 J7 and A405 (AL100),20150302,45,177.23,91.61,1,4.510000229,162.0
142,AL100,A414 between M1 J7 and A405 (AL100),20150302,46,177.23,91.61,1,4.510000229,169.0
143,AL100,A414 between M1 J7 and A405 (AL100),20150302,47,133.41,121.7,1,4.510000229,158.0
144,AL100,A414 between M1 J7 and A405 (AL100),20150302,48,133.41,121.7,1,4.510000229,155.5
145,AL100,A414 between M1 J7 and A405 (AL100),20150302,49,130.52,124.39,1,4.510000229,173.25
146,AL100,A414 between M1 J7 and A405 (AL100),20150302,50,146.9,110.52,1,4.510000229,168.5
147,AL100,A414 between M1 J7 and A405 (AL100),20150302,51,163.27,99.44,1,4.510000229,165.5
148,AL100,A414 between M1 J7 and A405 (AL100),20150302,52,174.9,92.83,1,4.510000229,167.0
149,AL100,A414 between M1 J7 and A405 (AL100),20150302,53,182.65,88.89,1,4.510000229,174.0
150,AL100,A414 between M1 J7 and A405 (AL100),20150302,54,147.17,110.32,1,4.510000229,169.5
151,AL100,A414 between M1 J7 and A405 (AL100),20150302,55,139.4,116.47,1,4.510000229,165.0
152,AL100,A414 between M1 J7 and A405 (AL100),20150302,56,139.76,116.17,1,4.510000229,167.0
153,AL100,A414 between M1 J7 and A405 (AL100),20150302,57,139.76,116.17,1,4.510000229,162.5
154,AL100,A414 between M1 J7 and A405 (AL100),20150302,58,139.76,116.17,1,4.510000229,180.0
155,AL100,A414 between M1 J7 and A405 (AL100),20150302,59,146.53,110.8,1,4.510000229,179.25
156,AL100,A414 between M1 J7 and A405 (AL100),20150302,60,146.53,110.8,1,4.510000229,186.0
157,AL100,A414 between M1 J7 and A405 (AL100),20150302,61,146.53,110.8,1,4.510000229,177.25
158,AL100,A414 between M1 J7 and A405 (AL100),20150302,62,163.97,99.02,1,4.510000229,203.0
159,AL100,A414 between M1 J7 and A405 (AL100),20150302,63,157.1,103.35,1,4.510000229,192.5
160,AL100,A414 between M1 J7 and A405 (AL100),20150302,64,152.53,106.44,1,4.510000229,234.0
161,AL100,A414 between M1 J7 and A405 (AL100),20150302,65,147.96,109.73,1,4.510000229,246.0
162,AL100,A414 between M1 J7 and A405 (AL100),20150302,66,148.49,109.34,1,4.510000229,250.5
163,AL100,A414 between M1 J7 and A405 (AL100),20150302,67,153.45,105.81,1,4.510000229,234.5
164,AL100,A414 between M1 J7 and A405 (AL100),20150302,68,158.4,102.5,1,4.510000229,261.5
165,AL100,A414 between M1 J7 and A405 (AL100),20150302,69,135.22,120.07,1,4.510000229,280.0
166,AL100,A414 between M1 J7 and A405 (AL100),20150302,70,142.97,113.56,1,4.510000229,275.5
167,AL100,A414 between M1 J7 and A405 (AL100),20150302,71,150.71,107.73,1,4.510000229,267.0
168,AL100,A414 between M1 J7 and A405 (AL100),20150302,72,125.64,129.23,1,4.510000229,253.25
169,AL100,A414 between M1 J7 and A405 (AL100),20150302,73,140.1,115.89,1,4.510000229,220.25
170,AL100,A414 between M1 J7 and A405 (AL100),20150302,74,154.55,105.05,1,4.510000229,201.0
171,AL100,A414 between M1 J7 and A405 (AL100),20150302,75,152.18,106.69,1,4.510000229,166.0
172,AL100,A414 between M1 J7 and A405 (AL100),20150302,76,152.18,106.69,1,4.510000229,150.5
173,AL100,A414 between M1 J7 and A405 (AL100),20150302,77,152.18,106.69,1,4.510000229,137.0
174,AL100,A414 between M1 J7 and A405 (AL100),20150302,78,148.35,109.44,3,4.510000229,126.0
175,AL100,A414 between M1 J7 and A405 (AL100),20150302,79,153.56,105.73,3,4.510000229,105.0
176,AL100,A414 between M1 J7 and A405 (AL100),20150302,80,142.3,114.1,3,4.510000229,89.5
177,AL100,A414 between M1 J7 and A405 (AL100),20150302,81,161.28,100.67,3,4.510000229,93.25
178,AL100,A414 between M1 J7 and A405 (AL100),20150302,82,156.36,103.84,3,4.510000229,75.75
179,AL100,A414 between M1 J7 and A405 (AL100),20150302,83,159.47,101.81,1,4.510000229,67.0
180,AL100,A414 between M1 J7 and A405 (AL100),20150302,84,159.47,101.81,1,4.510000229,73.5
181,AL100,A414 between M1 J7 and A405 (AL100),20150302,85,159.47,101.81,1,4.510000229,74.75
182,AL100,A414 between M1 J7 and A405 (AL100),20150302,86,159.47,101.81,1,4.510000229,68.0
183,AL100,A414 between M1 J7 and A405 (AL100),20150302,87,122.71,132.31,1,4.510000229,63.5
184,AL100,A414 between M1 J7 and A405 (AL100),20150302,88,122.71,132.31,1,4.510000229,71.0
185,AL100,A414 between M1 J7 and A405 (AL100),20150302,89,122.71,132.31,1,4.510000229,65.0
186,AL100,A414 between M1 J7 and A405 (AL100),20150302,90,122.71,132.31,1,4.510000229,50.0
187,AL100,A414 between M1 J7 and A405 (AL100),20150302,91,152.5,106.47,3,4.510000229,42.25
188,AL100,A414 between M1 J7 and A405 (AL100),20150302,92,150.48,107.89,3,4.510000229,39.5
189,AL100,A414 between M1 J7 and A405 (AL100),20150302,93,152.3,106.61,3,4.510000229,30.5
190,AL100,A414 between M1 J7 and A405 (AL100),20150302,94,181.6,89.41,3,4.510000229,28.0
191,AL100,A414 between M1 J7 and A405 (AL100),20150302,95,141.19,114.99,3,4.510000229,26.5
192,AL100,A414 between M1 J7 and A405 (AL100),20150303,00,147.69,109.93,1,4.510000229,23.5
193,AL100,A414 between M1 J7 and A405 (AL100),20150303,01,147.69,109.93,1,4.510000229,22.5
194,AL100,A414 between M1 J7 and A405 (AL100),20150303,02,147.69,109.93,1,4.510000229,20.0
195,AL100,A414 between M1 J7 and A405 (AL100),20150303,03,148.5,109.33,3,4.510000229,16.5
196,AL100,A414 between M1 J7 and A405 (AL100),20150303,04,162.07,100.18,3,4.510000229,15.5
197,AL100,A414 between M1 J7 and A405 (AL100),20150303,05,147.33,110.2,3,4.510000229,14.5
198,AL100,A414 between M1 J7 and A405 (AL100),20150303,06,159.72,101.65,3,4.510000229,17.5
199,AL100,A414 between M1 J7 and A405 (AL100),20150303,07,189.76,85.56,3,4.510000229,12.5
200,AL100,A414 between M1 J7 and A405 (AL100),20150303,08,157.05,103.38,1,4.510000229,13.0
201,AL100,A414 between M1 J7 and A405 (AL100),20150303,09,157.05,103.38,1,4.510000229,14.5
202,AL100,A414 between M1 J7 and A405 (AL100),20150303,10,157.05,103.38,1,4.510000229,13.5
203,AL100,A414 between M1 J7 and A405 (AL100),20150303,11,157.05,103.38,1,4.510000229,15.5
204,AL100,A414 between M1 J7 and A405 (AL100),20150303,12,157.05,103.38,1,4.510000229,19.5
205,AL100,A414 between M1 J7 and A405 (AL100),20150303,13,170.94,94.98,3,4.510000229,22.0
206,AL100,A414 between M1 J7 and A405 (AL100),20150303,14,132.58,122.46,3,4.510000229,23.5
207,AL100,A414 between M1 J7 and A405 (AL100),20150303,15,159.36,101.88,3,4.510000229,19.5
208,AL100,A414 between M1 J7 and A405 (AL100),20150303,16,162.75,99.76,3,4.510000229,21.0
209,AL100,A414 between M1 J7 and A405 (AL100),20150303,17,145.05,111.93,1,4.510000229,23.0
210,AL100,A414 between M1 J7 and A405 (AL100),20150303,18,145.05,111.93,1,4.510000229,44.5
211,AL100,A414 between M1 J7 and A405 (AL100),20150303,19,145.05,111.93,1,4.510000229,36.5
212,AL100,A414 between M1 J7 and A405 (AL100),20150303,20,151.39,107.25,1,4.510000229,51.5
213,AL100,A414 between M1 J7 and A405 (AL100),20150303,21,157.72,102.94,1,4.510000229,76.0
214,AL100,A414 between M1 J7 and A405 (AL100),20150303,22,160.66,101.06,1,4.510000229,111.5
215,AL100,A414 between M1 J7 and A405 (AL100),20150303,23,148.19,109.56,1,4.510000229,97.5
216,AL100,A414 between M1 J7 and A405 (AL100),20150303,24,149.06,108.92,1,4.510000229,138.0
217,AL100,A414 between M1 J7 and A405 (AL100),20150303,25,149.92,108.3,1,4.510000229,154.0
218,AL100,A414 between M1 J7 and A405 (AL100),20150303,26,152.21,106.67,1,4.510000229,211.5
219,AL100,A414 between M1 J7 and A405 (AL100),20150303,27,154.5,105.09,1,4.510000229,243.5
220,AL100,A414 between M1 J7 and A405 (AL100),20150303,28,139.91,116.05,1,4.510000229,271.0
221,AL100,A414 between M1 J7 and A405 (AL100),20150303,29,141.1,115.07,1,4.510000229,308.0
222,AL100,A414 between M1 J7 and A405 (AL100),20150303,30,152.65,106.36,1,4.510000229,314.5
223,AL100,A414 between M1 J7 and A405 (AL100),20150303,31,174.51,93.04,1,4.510000229,338.0
224,AL100,A414 between M1 J7 and A405 (AL100),20150303,32,236.95,68.52,1,4.510000229,362.5
225,AL100,A414 between M1 J7 and A405 (AL100),20150303,33,315.38,51.48,1,4.510000229,340.5
226,AL100,A414 between M1 J7 and A405 (AL100),20150303,34,336.71,48.22,1,4.510000229,305.5
227,AL100,A414 between M1 J7 and A405 (AL100),20150303,35,186.73,86.95,1,4.510000229,255.0
228,AL100,A414 between M1 J7 and A405 (AL100),20150303,36,175.28,92.63,1,4.510000229,254.0
229,AL100,A414 between M1 J7 and A405 (AL100),20150303,37,163.83,99.1,1,4.510000229,251.5
230,AL100,A414 between M1 J7 and A405 (AL100),20150303,38,171.54,94.65,1,4.510000229,222.5
231,AL100,A414 between M1 J7 and A405 (AL100),20150303,39,160.5,101.16,1,4.510000229,199.5
232,AL100,A414 between M1 J7 and A405 (AL100),20150303,40,149.46,108.63,1,4.510000229,190.5
233,AL100,A414 between M1 J7 and A405 (AL100),20150303,41,156.95,103.45,1,4.510000229,180.0
234,AL100,A414 between M1 J7 and A405 (AL100),20150303,42,144.53,112.34,1,4.510000229,174.5
235,AL100,A414 between M1 J7 and A405 (AL100),20150303,43,145.07,111.92,1,4.510000229,171.0
236,AL100,A414 between M1 J7 and A405 (AL100),20150303,44,162.57,99.87,1,4.510000229,160.5
237,AL100,A414 between M1 J7 and A405 (AL100),20150303,45,155.88,104.16,1,4.510000229,170.5
238,AL100,A414 between M1 J7 and A405 (AL100),20150303,46,178.08,91.17,1,4.510000229,175.0
239,AL100,A414 between M1 J7 and A405 (AL100),20150303,47,181.41,89.5,1,4.510000229,166.5
240,AL100,A414 between M1 J7 and A405 (AL100),20150303,48,168.51,96.35,1,4.510000229,161.5
241,AL100,A414 between M1 J7 and A405 (AL100),20150303,49,155.61,104.34,1,4.510000229,176.0
242,AL100,A414 between M1 J7 and A405 (AL100),20150303,50,157.59,103.03,1,4.510000229,177.0
243,AL100,A414 between M1 J7 and A405 (AL100),20150303,51,159.57,101.75,1,4.510000229,175.0
244,AL100,A414 between M1 J7 and A405 (AL100),20150303,52,159.57,101.75,1,4.510000229,176.5
245,AL100,A414 between M1 J7 and A405 (AL100),20150303,53,130.03,124.86,1,4.510000229,172.5
246,AL100,A414 between M1 J7 and A405 (AL100),20150303,54,130.03,124.86,1,4.510000229,174.0
247,AL100,A414 between M1 J7 and A405 (AL100),20150303,55,134.72,120.52,1,4.510000229,168.5
248,AL100,A414 between M1 J7 and A405 (AL100),20150303,56,139.41,116.46,1,4.510000229,185.0
249,AL100,A414 between M1 J7 and A405 (AL100),20150303,57,156.99,103.42,1,4.510000229,171.0
250,AL100,A414 between M1 J7 and A405 (AL100),20150303,58,159.43,101.84,1,4.510000229,185.0
251,AL100,A414 between M1 J7 and A405 (AL100),20150303,59,161.87,100.3,1,4.510000229,182.5
252,AL100,A414 between M1 J7 and A405 (AL100),20150303,60,162.67,99.81,1,4.510000229,189.0
253,AL100,A414 between M1 J7 and A405 (AL100),20150303,61,163.46,99.33,1,4.510000229,188.5
254,AL100,A414 between M1 J7 and A405 (AL100),20150303,62,139.8,116.14,1,4.510000229,210.5
255,AL100,A414 between M1 J7 and A405 (AL100),20150303,63,154.54,105.06,1,4.510000229,197.0
256,AL100,A414 between M1 J7 and A405 (AL100),20150303,64,145.43,111.64,1,4.510000229,237.5
257,AL100,A414 between M1 J7 and A405 (AL100),20150303,65,148.98,108.98,1,4.510000229,253.5
258,AL100,A414 between M1 J7 and A405 (AL100),20150303,66,159.66,101.69,1,4.510000229,267.0
259,AL100,A414 between M1 J7 and A405 (AL100),20150303,67,142.67,113.8,1,4.510000229,259.5
260,AL100,A414 between M1 J7 and A405 (AL100),20150303,68,161.46,100.56,1,4.510000229,256.5
261,AL100,A414 between M1 J7 and A405 (AL100),20150303,69,143.43,113.2,1,4.510000229,291.0
262,AL100,A414 between M1 J7 and A405 (AL100),20150303,70,148.41,109.4,1,4.510000229,267.0
263,AL100,A414 between M1 J7 and A405 (AL100),20150303,71,130.21,124.69,1,4.510000229,274.0
264,AL100,A414 between M1 J7 and A405 (AL100),20150303,72,140.32,115.71,1,4.510000229,252.5
265,AL100,A414 between M1 J7 and A405 (AL100),20150303,73,150.42,107.94,1,4.510000229,244.5
266,AL100,A414 between M1 J7 and A405 (AL100),20150303,74,155.86,104.17,1,4.510000229,207.5
267,AL100,A414 between M1 J7 and A405 (AL100),20150303,75,135.3,120.0,1,4.510000229,190.5
268,AL100,A414 between M1 J7 and A405 (AL100),20150303,76,155.09,104.69,1,4.510000229,167.5
269,AL100,A414 between M1 J7 and A405 (AL100),20150303,77,155.09,104.69,1,4.510000229,142.0
270,AL100,A414 between M1 J7 and A405 (AL100),20150303,78,155.09,104.69,1,4.510000229,132.5
271,AL100,A414 between M1 J7 and A405 (AL100),20150303,79,145.62,111.5,3,4.510000229,110.5
